"","Symbol","Security","Sector"
"191","FIS","Fidelity National Information Services","Information Technology"
"192","FITB","Fifth Third Bancorp","Financials"
"193","FE","FirstEnergy Corp","Utilities"
"194","FRC","First Republic Bank","Financials"
"195","FISV","Fiserv Inc","Information Technology"
"196","FLT","FleetCor Technologies Inc","Information Technology"
"197","FLIR","FLIR Systems","Information Technology"
"198","FLS","Flowserve Corporation","Industrials"
"199","FMC","FMC Corporation","Materials"
"200","F","Ford Motor Company","Consumer Discretionary"
"201","FTNT","Fortinet","Information Technology"
"202","FTV","Fortive Corp","Industrials"
"203","FBHS","Fortune Brands Home & Security","Industrials"
"204","FOXA","Fox Corporation Class A","Communication Services"
"205","FOX","Fox Corporation Class B","Communication Services"
"206","BEN","Franklin Resources","Financials"
"207","FCX","Freeport-McMoRan Inc.","Materials"
"208","GPS","Gap Inc.","Consumer Discretionary"
"209","GRMN","Garmin Ltd.","Consumer Discretionary"
"210","IT","Gartner Inc","Information Technology"
"211","GD","General Dynamics","Industrials"
"212","GE","General Electric","Industrials"
"213","GIS","General Mills","Consumer Staples"
"214","GM","General Motors","Consumer Discretionary"
"215","GPC","Genuine Parts","Consumer Discretionary"
"216","GILD","Gilead Sciences","Health Care"
"217","GL","Globe Life Inc.","Financials"
"218","GPN","Global Payments Inc.","Information Technology"
"219","GS","Goldman Sachs Group","Financials"
"220","GWW","Grainger (W.W.) Inc.","Industrials"
"221","HRB","H&R Block","Consumer Discretionary"
"222","HAL","Halliburton Co.","Energy"
"223","HBI","Hanesbrands Inc","Consumer Discretionary"
"224","HOG","Harley-Davidson","Consumer Discretionary"
"225","HIG","Hartford Financial Svc.Gp.","Financials"
"226","HAS","Hasbro Inc.","Consumer Discretionary"
"227","HCA","HCA Healthcare","Health Care"
"228","PEAK","Healthpeak Properties","Real Estate"
"229","HP","Helmerich & Payne","Energy"
"230","HSIC","Henry Schein","Health Care"
"231","HSY","The Hershey Company","Consumer Staples"
"232","HES","Hess Corporation","Energy"
"233","HPE","Hewlett Packard Enterprise","Information Technology"
"234","HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary"
"235","HFC","HollyFrontier Corp","Energy"
"236","HOLX","Hologic","Health Care"
"237","HD","Home Depot","Consumer Discretionary"
"238","HON","Honeywell Int'l Inc.","Industrials"
"239","HRL","Hormel Foods Corp.","Consumer Staples"
"240","HST","Host Hotels & Resorts","Real Estate"
"241","HWM","Howmet Aerospace","Industrials"
"242","HPQ","HP Inc.","Information Technology"
"243","HUM","Humana Inc.","Health Care"
"244","HBAN","Huntington Bancshares","Financials"
"245","HII","Huntington Ingalls Industries","Industrials"
"246","IEX","IDEX Corporation","Industrials"
"247","IDXX","IDEXX Laboratories","Health Care"
"248","INFO","IHS Markit Ltd.","Industrials"
"249","ITW","Illinois Tool Works","Industrials"
"250","ILMN","Illumina Inc","Health Care"
"251","INCY","Incyte","Health Care"
"252","IR","Ingersoll Rand","Industrials"
"253","INTC","Intel Corp.","Information Technology"
"254","ICE","Intercontinental Exchange","Financials"
"255","IBM","International Business Machines","Information Technology"
"256","IP","International Paper","Materials"
"257","IPG","Interpublic Group","Communication Services"
"258","IFF","Intl Flavors & Fragrances","Materials"
"259","INTU","Intuit Inc.","Information Technology"
"260","ISRG","Intuitive Surgical Inc.","Health Care"
"261","IVZ","Invesco Ltd.","Financials"
"262","IPGP","IPG Photonics Corp.","Information Technology"
"263","IQV","IQVIA Holdings Inc.","Health Care"
"264","IRM","Iron Mountain Incorporated","Real Estate"
"265","JKHY","Jack Henry & Associates","Information Technology"
"266","J","Jacobs Engineering Group","Industrials"
"267","JBHT","J. B. Hunt Transport Services","Industrials"
"268","SJM","JM Smucker","Consumer Staples"
"269","JNJ","Johnson & Johnson","Health Care"
"270","JCI","Johnson Controls International","Industrials"
"271","JPM","JPMorgan Chase & Co.","Financials"
"272","JNPR","Juniper Networks","Information Technology"
"273","KSU","Kansas City Southern","Industrials"
"274","K","Kellogg Co.","Consumer Staples"
"275","KEY","KeyCorp","Financials"
"276","KEYS","Keysight Technologies","Information Technology"
"277","KMB","Kimberly-Clark","Consumer Staples"
"278","KIM","Kimco Realty","Real Estate"
"279","KMI","Kinder Morgan","Energy"
"280","KLAC","KLA Corporation","Information Technology"
"281","KSS","Kohl's Corp.","Consumer Discretionary"
"282","KHC","Kraft Heinz Co","Consumer Staples"
"283","KR","Kroger Co.","Consumer Staples"
"284","LB","L Brands Inc.","Consumer Discretionary"
"285","LHX","L3Harris Technologies","Industrials"
"286","LH","Laboratory Corp. of America Holding","Health Care"
"287","LRCX","Lam Research","Information Technology"
"288","LW","Lamb Weston Holdings Inc","Consumer Staples"
"289","LVS","Las Vegas Sands","Consumer Discretionary"
"290","LEG","Leggett & Platt","Consumer Discretionary"
"291","LDOS","Leidos Holdings","Information Technology"
"292","LEN","Lennar Corp.","Consumer Discretionary"
"293","LLY","Lilly (Eli) & Co.","Health Care"
"294","LNC","Lincoln National","Financials"
"295","LIN","Linde plc","Materials"
"296","LYV","Live Nation Entertainment","Communication Services"
"297","LKQ","LKQ Corporation","Consumer Discretionary"
"298","LMT","Lockheed Martin Corp.","Industrials"
"299","L","Loews Corp.","Financials"
"300","LOW","Lowe's Cos.","Consumer Discretionary"
"301","LYB","LyondellBasell","Materials"
"302","MTB","M&T Bank Corp.","Financials"
"303","MRO","Marathon Oil Corp.","Energy"
"304","MPC","Marathon Petroleum","Energy"
"305","MKTX","MarketAxess","Financials"
"306","MAR","Marriott Int'l.","Consumer Discretionary"
"307","MMC","Marsh & McLennan","Financials"
"308","MLM","Martin Marietta Materials","Materials"
"309","MAS","Masco Corp.","Industrials"
"310","MA","Mastercard Inc.","Information Technology"
"311","MKC","McCormick & Co.","Consumer Staples"
"312","MXIM","Maxim Integrated Products Inc","Information Technology"
"313","MCD","McDonald's Corp.","Consumer Discretionary"
"314","MCK","McKesson Corp.","Health Care"
"315","MDT","Medtronic plc","Health Care"
"316","MRK","Merck & Co.","Health Care"
"317","MET","MetLife Inc.","Financials"
"318","MTD","Mettler Toledo","Health Care"
"319","MGM","MGM Resorts International","Consumer Discretionary"
"320","MCHP","Microchip Technology","Information Technology"
"321","MU","Micron Technology","Information Technology"
"322","MSFT","Microsoft Corp.","Information Technology"
"323","MAA","Mid-America Apartments","Real Estate"
"324","MHK","Mohawk Industries","Consumer Discretionary"
"325","TAP","Molson Coors Brewing Company","Consumer Staples"
"326","MDLZ","Mondelez International","Consumer Staples"
"327","MNST","Monster Beverage","Consumer Staples"
"328","MCO","Moody's Corp","Financials"
"329","MS","Morgan Stanley","Financials"
"330","MOS","The Mosaic Company","Materials"
"331","MSI","Motorola Solutions Inc.","Information Technology"
"332","MSCI","MSCI Inc","Financials"
"333","MYL","Mylan N.V.","Health Care"
"334","NDAQ","Nasdaq, Inc.","Financials"
"335","NOV","National Oilwell Varco Inc.","Energy"
"336","NTAP","NetApp","Information Technology"
"337","NFLX","Netflix Inc.","Communication Services"
"338","NWL","Newell Brands","Consumer Discretionary"
"339","NEM","Newmont Corporation","Materials"
"340","NWSA","News Corp. Class A","Communication Services"
"341","NWS","News Corp. Class B","Communication Services"
"342","NEE","NextEra Energy","Utilities"
"343","NLSN","Nielsen Holdings","Industrials"
"344","NKE","Nike","Consumer Discretionary"
"345","NI","NiSource Inc.","Utilities"
"346","NBL","Noble Energy Inc","Energy"
"347","JWN","Nordstrom","Consumer Discretionary"
"348","NSC","Norfolk Southern Corp.","Industrials"
"349","NTRS","Northern Trust Corp.","Financials"
"350","NOC","Northrop Grumman","Industrials"
"351","NLOK","NortonLifeLock","Information Technology"
"352","NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary"
"353","NRG","NRG Energy","Utilities"
"354","NUE","Nucor Corp.","Materials"
"355","NVDA","Nvidia Corporation","Information Technology"
"356","NVR","NVR Inc","Consumer Discretionary"
"357","ORLY","O'Reilly Automotive","Consumer Discretionary"
"358","OXY","Occidental Petroleum","Energy"
"359","ODFL","Old Dominion Freight Line","Industrials"
"360","OMC","Omnicom Group","Communication Services"
"361","OKE","ONEOK","Energy"
"362","ORCL","Oracle Corp.","Information Technology"
"363","OTIS","Otis Worldwide","Industrials"
"364","PCAR","PACCAR Inc.","Industrials"
"365","PKG","Packaging Corporation of America","Materials"
"366","PH","Parker-Hannifin","Industrials"
"367","PAYX","Paychex Inc.","Information Technology"
"368","PAYC","Paycom","Information Technology"
"369","PYPL","PayPal","Information Technology"
"370","PNR","Pentair plc","Industrials"
"371","PBCT","People's United Financial","Financials"
"372","PEP","PepsiCo Inc.","Consumer Staples"
"373","PKI","PerkinElmer","Health Care"
"374","PRGO","Perrigo","Health Care"
"375","PFE","Pfizer Inc.","Health Care"
"376","PM","Philip Morris International","Consumer Staples"
"377","PSX","Phillips 66","Energy"
"378","PNW","Pinnacle West Capital","Utilities"
"379","PXD","Pioneer Natural Resources","Energy"
"380","PNC","PNC Financial Services","Financials"
"381","PPG","PPG Industries","Materials"
"382","PPL","PPL Corp.","Utilities"
"383","PFG","Principal Financial Group","Financials"
"384","PG","Procter & Gamble","Consumer Staples"
"385","PGR","Progressive Corp.","Financials"
"386","PLD","Prologis","Real Estate"
"387","PRU","Prudential Financial","Financials"
"388","PEG","Public Serv. Enterprise Inc.","Utilities"
"389","PSA","Public Storage","Real Estate"
"390","PHM","PulteGroup","Consumer Discretionary"
"391","PVH","PVH Corp.","Consumer Discretionary"
"392","QRVO","Qorvo","Information Technology"
"393","PWR","Quanta Services Inc.","Industrials"
"394","QCOM","QUALCOMM Inc.","Information Technology"
"395","DGX","Quest Diagnostics","Health Care"
"396","RL","Ralph Lauren Corporation","Consumer Discretionary"
"397","RJF","Raymond James Financial Inc.","Financials"
"398","RTX","Raytheon Technologies","Industrials"
"399","O","Realty Income Corporation","Real Estate"
"400","REG","Regency Centers Corporation","Real Estate"
"401","REGN","Regeneron Pharmaceuticals","Health Care"
"402","RF","Regions Financial Corp.","Financials"
"403","RSG","Republic Services Inc","Industrials"
"404","RMD","ResMed","Health Care"
"405","RHI","Robert Half International","Industrials"
"406","ROK","Rockwell Automation Inc.","Industrials"
"407","ROL","Rollins Inc.","Industrials"
"408","ROP","Roper Technologies","Industrials"
"409","ROST","Ross Stores","Consumer Discretionary"
"410","RCL","Royal Caribbean Cruises Ltd","Consumer Discretionary"
"411","SPGI","S&P Global, Inc.","Financials"
"412","CRM","Salesforce.com","Information Technology"
"413","SBAC","SBA Communications","Real Estate"
"414","SLB","Schlumberger Ltd.","Energy"
"415","STX","Seagate Technology","Information Technology"
"416","SEE","Sealed Air","Materials"
"417","SRE","Sempra Energy","Utilities"
"418","NOW","ServiceNow","Information Technology"
"419","SHW","Sherwin-Williams","Materials"
"420","SPG","Simon Property Group Inc","Real Estate"
"421","SWKS","Skyworks Solutions","Information Technology"
"422","SLG","SL Green Realty","Real Estate"
"423","SNA","Snap-on","Industrials"
"424","SO","Southern Company","Utilities"
"425","LUV","Southwest Airlines","Industrials"
"426","SWK","Stanley Black & Decker","Industrials"
"427","SBUX","Starbucks Corp.","Consumer Discretionary"
"428","STT","State Street Corp.","Financials"
"429","STE","STERIS plc","Health Care"
"430","SYK","Stryker Corp.","Health Care"
"431","SIVB","SVB Financial","Financials"
"432","SYF","Synchrony Financial","Financials"
"433","SNPS","Synopsys Inc.","Information Technology"
"434","SYY","Sysco Corp.","Consumer Staples"
"435","TMUS","T-Mobile US","Communication Services"
"436","TROW","T. Rowe Price Group","Financials"
"437","TTWO","Take-Two Interactive","Communication Services"
"438","TPR","Tapestry, Inc.","Consumer Discretionary"
"439","TGT","Target Corp.","Consumer Discretionary"
"440","TEL","TE Connectivity Ltd.","Information Technology"
"441","FTI","TechnipFMC","Energy"
"442","TFX","Teleflex","Health Care"
"443","TXN","Texas Instruments","Information Technology"
"444","TXT","Textron Inc.","Industrials"
"445","TMO","Thermo Fisher Scientific","Health Care"
"446","TIF","Tiffany & Co.","Consumer Discretionary"
"447","TJX","TJX Companies Inc.","Consumer Discretionary"
"448","TSCO","Tractor Supply Company","Consumer Discretionary"
"449","TT","Trane Technologies plc","Industrials"
"450","TDG","TransDigm Group","Industrials"
"451","TRV","The Travelers Companies Inc.","Financials"
"452","TFC","Truist Financial","Financials"
"453","TWTR","Twitter, Inc.","Communication Services"
"454","TSN","Tyson Foods","Consumer Staples"
"455","UDR","UDR, Inc.","Real Estate"
"456","ULTA","Ulta Beauty","Consumer Discretionary"
"457","USB","U.S. Bancorp","Financials"
"458","UAA","Under Armour Class A","Consumer Discretionary"
"459","UA","Under Armour Class C","Consumer Discretionary"
"460","UNP","Union Pacific Corp","Industrials"
"461","UAL","United Airlines Holdings","Industrials"
"462","UNH","United Health Group Inc.","Health Care"
"463","UPS","United Parcel Service","Industrials"
"464","URI","United Rentals, Inc.","Industrials"
"465","UHS","Universal Health Services, Inc.","Health Care"
"466","UNM","Unum Group","Financials"
"467","VFC","V.F. Corp.","Consumer Discretionary"
"468","VLO","Valero Energy","Energy"
"469","VAR","Varian Medical Systems","Health Care"
"470","VTR","Ventas Inc","Real Estate"
"471","VRSN","Verisign Inc.","Information Technology"
"472","VRSK","Verisk Analytics","Industrials"
"473","VZ","Verizon Communications","Communication Services"
"474","VRTX","Vertex Pharmaceuticals Inc","Health Care"
"475","VIAC","ViacomCBS","Communication Services"
"476","V","Visa Inc.","Information Technology"
"477","VNO","Vornado Realty Trust","Real Estate"
"478","VMC","Vulcan Materials","Materials"
"479","WRB","W. R. Berkley Corporation","Financials"
"480","WAB","Wabtec Corporation","Industrials"
"481","WMT","Walmart","Consumer Staples"
"482","WBA","Walgreens Boots Alliance","Consumer Staples"
"483","DIS","The Walt Disney Company","Communication Services"
"484","WM","Waste Management Inc.","Industrials"
"485","WAT","Waters Corporation","Health Care"
"486","WEC","WEC Energy Group","Utilities"
"487","WFC","Wells Fargo","Financials"
"488","WELL","Welltower Inc.","Real Estate"
"489","WDC","Western Digital","Information Technology"
"490","WU","Western Union Co","Information Technology"
"491","WRK","WestRock","Materials"
"492","WY","Weyerhaeuser","Real Estate"
"493","WHR","Whirlpool Corp.","Consumer Discretionary"
"494","WMB","Williams Cos.","Energy"
"495","WLTW","Willis Towers Watson","Financials"
"496","WYNN","Wynn Resorts Ltd","Consumer Discretionary"
"497","XEL","Xcel Energy Inc","Utilities"
"498","XRX","Xerox","Information Technology"
"499","XLNX","Xilinx","Information Technology"
"500","XYL","Xylem Inc.","Industrials"
"501","YUM","Yum! Brands Inc","Consumer Discretionary"
"502","ZBRA","Zebra Technologies","Information Technology"
"503","ZBH","Zimmer Biomet Holdings","Health Care"
"504","ZION","Zions Bancorp","Financials"
"505","ZTS","Zoetis","Health Care"
